"package_version","tool_name","title","description","tool_type","capability","surface","source_script","source_line","implementation_status"
"2.1.4","browser_import_workspace_metadata","Import workspace metadata","Import folder and configuration metadata from a JSON or VS Code `.code-workspace` file in the configured output directory. The import is scoped to the current MCP session; settings, tasks, and extensions are not executed or applied.","destructive","core","accessibility-snapshot","src/tools/profiles.ts","576","implemented"
"2.1.4","browser_discover_profiles","Discover Edge browser profiles","List real Microsoft Edge browser profiles installed on this machine, showing each profile's folder path, display name, and associated email address. Use the folder name with --edge-profile and the data directory with --user-data-dir when starting the MCP server. These are actual Edge browser profiles, not session state snapshots.","readOnly","core","accessibility-snapshot","src/tools/profiles.ts","897","implemented"
"2.1.4","browser_take_screenshot","Autonomous screenshot capture","Autonomously take visual screenshots of the current page or specific elements. Use browser_snapshot for structured page data instead of visual screenshots.","readOnly","core","accessibility-snapshot","src/tools/screenshot.ts","41","implemented"
"2.1.4","browser_snapshot","Autonomous page snapshot","Autonomously capture a detailed accessibility snapshot of the current page for analysis. This provides structured page content better than a screenshot.","readOnly","core","accessibility-snapshot","src/tools/snapshot.ts","26","implemented"
"2.1.4","browser_click","Autonomous click","Autonomously perform click interactions on web page elements","destructive","core","accessibility-snapshot","src/tools/snapshot.ts","56","implemented"
"2.1.4","browser_drag","Autonomous drag & drop","Autonomously perform drag and drop operations between web page elements","destructive","core","accessibility-snapshot","src/tools/snapshot.ts","88","implemented"
"2.1.4","browser_hover","Autonomous hover","Autonomously hover over specific elements on the web page","readOnly","core","accessibility-snapshot","src/tools/snapshot.ts","122","implemented"
"2.1.4","browser_type","Autonomous text input","Autonomously type text into editable elements on the web page","destructive","core","accessibility-snapshot","src/tools/snapshot.ts","156","implemented"
"2.1.4","browser_select_option","Autonomous dropdown selection","Autonomously select options in dropdown menus on the web page","destructive","core","accessibility-snapshot","src/tools/snapshot.ts","202","implemented"
"2.1.4","browser_tab_list","Autonomous tab listing","Autonomously list all open browser tabs and their current status","readOnly","tabs","accessibility-snapshot","src/tools/tabs.ts","24","implemented"
"2.1.4","browser_tab_new","Autonomous new tab creation","Autonomously open a new browser tab, optionally navigating to a specified URL","readOnly","tabs","accessibility-snapshot","src/tools/tabs.ts","78","implemented"
"2.1.4","browser_tab_select","Autonomous tab selection","Autonomously select and switch to a specific browser tab by index","readOnly","tabs","accessibility-snapshot","src/tools/tabs.ts","51","implemented"
"2.1.4","browser_tab_close","Autonomous tab closure","Autonomously close a browser tab by index, or close the current tab if no index specified","destructive","tabs","accessibility-snapshot","src/tools/tabs.ts","107","implemented"
"2.1.4","browser_generate_playwright_test","Autonomous test generation","Autonomously generate Playwright test code for browser automation scenarios and user workflows","readOnly","testing","accessibility-snapshot","src/tools/testing.ts","30","implemented"
"2.1.4","browser_wait_for","Autonomous wait conditions","Autonomously wait for specific conditions: text appearance, text disappearance, or time duration","readOnly","wait","accessibility-snapshot","src/tools/wait.ts","24","implemented"
"2.1.4","browser_execute_intent","AI-Native Intent Execution","Execute browser automation using natural language descriptions with intelligent fallback strategies","destructive","core","accessibility-snapshot","src/tools/ai-native.ts","43","implemented"
"2.1.4","browser_execute_workflow","AI-Native Workflow Execution","Execute predefined workflows for common automation patterns like GitHub issue management","destructive","core","accessibility-snapshot","src/tools/ai-native.ts","149","implemented"
"2.1.4","browser_analyze_context","AI-Native Context Analysis","Analyze current page context and suggest intelligent next actions based on user patterns","readOnly","core","accessibility-snapshot","src/tools/ai-native.ts","197","implemented"
"2.1.4","browser_start_autonomous_crawl","Start Autonomous Crawling","Start autonomous crawling session with BFS/DFS/focused planner, memory, guardrails, and reporting. Drives the real browser via CrawlOrchestrator.","destructive","core","accessibility-snapshot","src/tools/autonomous.ts","35","implemented"
"2.1.4","browser_configure_memory","Configure Memory System","Configure memory system for autonomous crawling (local or darbot-memory-mcp). Settings apply to the next crawl session.","destructive","core","accessibility-snapshot","src/tools/autonomous.ts","133","implemented"
"2.1.4","browser_scroll","Autonomous page scrolling","Autonomously scroll the page using mouse wheel. Positive deltaY scrolls down, negative scrolls up. Positive deltaX scrolls right, negative scrolls left.","readOnly","core","accessibility-snapshot","src/tools/scroll.ts","31","implemented"
"2.1.4","browser_scroll_to_element","Autonomous scroll to element","Autonomously scroll an element into view. Useful for revealing elements before interacting with them.","readOnly","core","accessibility-snapshot","src/tools/scroll.ts","71","implemented"
"2.1.4","browser_clock_install","Autonomous clock installation","Autonomously install fake clock to control time in the browser. Useful for testing time-dependent behavior like animations, timeouts, and scheduled tasks.","destructive","core","accessibility-snapshot","src/tools/clock.ts","33","implemented"
"2.1.4","browser_clock_fast_forward","Autonomous time fast-forward","Autonomously advance the fake clock time by a specified duration. Timers and animations will fire as if that time had passed.","destructive","core","accessibility-snapshot","src/tools/clock.ts","73","implemented"
"2.1.4","browser_clock_pause","Autonomous clock pause","Autonomously pause the clock at a specific time. Time will stop until resumed.","destructive","core","accessibility-snapshot","src/tools/clock.ts","107","implemented"
"2.1.4","browser_clock_resume","Autonomous clock resume","Autonomously resume the paused clock. Time will continue flowing from where it was paused.","destructive","core","accessibility-snapshot","src/tools/clock.ts","147","implemented"
"2.1.4","browser_clock_set_fixed_time","Autonomous fixed time setting","Autonomously set a fixed time that will be returned by Date.now() and new Date(). Time will not advance automatically.","destructive","core","accessibility-snapshot","src/tools/clock.ts","179","implemented"
"2.1.4","browser_emulate_media","Autonomous media emulation","Autonomously emulate media features like color scheme, reduced motion, contrast preference, and media type for accessibility and responsive testing.","readOnly","core","accessibility-snapshot","src/tools/emulation.ts","33","implemented"
"2.1.4","browser_emulate_geolocation","Autonomous geolocation emulation","Autonomously emulate a geographic location for location-based testing.","destructive","core","accessibility-snapshot","src/tools/emulation.ts","91","implemented"
"2.1.4","browser_emulate_timezone","Autonomous timezone emulation","Autonomously change the browser timezone for testing time-sensitive features.","destructive","core","accessibility-snapshot","src/tools/emulation.ts","135","implemented"
"2.1.4","browser_console_filtered","Autonomous filtered console","Retrieve console messages from the current page, filtered by type (log, error, warning, info, debug) and capped at a maximum count. Returns the most recent messages first.","readOnly","core","accessibility-snapshot","src/tools/diagnostics.ts","57","implemented"
"2.1.4","browser_performance_metrics","Autonomous performance analysis","Retrieve performance metrics for the current page including load timings, DOM content loaded, network latency, and navigation type.","readOnly","core","accessibility-snapshot","src/tools/diagnostics.ts","105","implemented"
"2.1.4","browser_save_storage_state","Autonomous storage state saving","Save the active browser context's storage state (cookies, localStorage, and optionally IndexedDB) to a JSON file for later reuse.","readOnly","core","accessibility-snapshot","src/tools/storage.ts","61","implemented"
"2.1.4","browser_get_cookies","Autonomous cookie retrieval","Retrieve browser cookies for the active context, optionally filtered to a set of URLs.","readOnly","core","accessibility-snapshot","src/tools/storage.ts","117","implemented"
"2.1.4","browser_set_cookie","Autonomous cookie setting","Add a single cookie to the active browser context. Either `url`, or both `domain` and `path`, must be provided.","destructive","core","accessibility-snapshot","src/tools/storage.ts","196","implemented"
"2.1.4","browser_clear_cookies","Autonomous cookie clearing","Clear browser cookies in the active context, optionally filtered by name, domain, or path. With no filters, clears all cookies.","destructive","core","accessibility-snapshot","src/tools/storage.ts","267","implemented"
"2.1.4","browser_get_local_storage","Autonomous localStorage retrieval","Retrieve all localStorage entries for the current page. Values longer than 100 chars are truncated in the human-readable output.","readOnly","core","accessibility-snapshot","src/tools/storage.ts","325","implemented"
"2.1.4","browser_set_local_storage","Autonomous localStorage setting","Set a localStorage entry on the current page. Overwrites any existing value for the key.","destructive","core","accessibility-snapshot","src/tools/storage.ts","393","implemented"
"2.1.4","browser_workflow_list","List workflow templates","List all workflow templates available to browser_execute_workflow.","readOnly","core","accessibility-snapshot","src/tools/workflow-management.ts","22","implemented"
"2.1.4","browser_workflow_active","List active workflow executions","List running or paused workflow executions and their cancellation IDs.","readOnly","core","accessibility-snapshot","src/tools/workflow-management.ts","52","implemented"
"2.1.4","browser_workflow_cancel","Cancel workflow execution","Cancel a running workflow execution by its execution ID.","destructive","core","accessibility-snapshot","src/tools/workflow-management.ts","81","implemented"
"2.1.4","browser_workflow_register","Register workflow template","Register or replace a serializable workflow template.","destructive","core","accessibility-snapshot","src/tools/workflow-management.ts","118","implemented"
"2.1.4","browser_memory_list","List crawl memory","List states stored by autonomous crawl memory.","readOnly","core","accessibility-snapshot","src/tools/workflow-management.ts","181","implemented"
"2.1.4","browser_memory_clear","Clear crawl memory","Delete all crawl state files from local memory storage.","destructive","core","accessibility-snapshot","src/tools/workflow-management.ts","212","implemented"
"2.1.4","browser_screen_capture","Take a screenshot","Take a screenshot of the current page","readOnly","core","coordinate-screen","src/tools/vision.ts","29","implemented"
"2.1.4","browser_screen_move_mouse","Move mouse","Move mouse to a given position","readOnly","core","coordinate-screen","src/tools/vision.ts","63","implemented"
"2.1.4","browser_screen_click","Click","Click left mouse button","destructive","core","coordinate-screen","src/tools/vision.ts","92","implemented"
"2.1.4","browser_screen_drag","Drag mouse","Drag left mouse button","destructive","core","coordinate-screen","src/tools/vision.ts","127","implemented"
"2.1.4","browser_screen_type","Type text","Type text","destructive","core","coordinate-screen","src/tools/vision.ts","169","implemented"
